Site No.,Aquifer thickness,Plume length,Plume length,ED,EA (O2),"Ham (W= 3M, ath=0.1)","Ham (W= 5M, ath=0.1)","Chu (W= 3M, ath=0.1)","Chu (W= 5M, ath=0.1)","Liedl, atv=0.01","Liedl, atv=0.001","Maier, atv=0.01","Maier, atv=0.001"
,[m],[ft],[m],[mg/l],[mg/l],(m),(m),(m),(m),(m),(m),(m),(m)
1,7.62,1650,502.92,21.475,5.9,54320.5559291039,150890.4331364,134030.599466876,372307.220741323,6498.77254719783,64987.7254719784,6029.5262425228,60295.262425228
2,9.144,900,274.32,3.552,6.9,1564.63164277278,4346.19900770217,3860.57383689847,10723.8162136069,4077.85729218749,40778.5729218749,4828.45839318913,48284.5839318913
3,3.048,750,228.6,28,7.1,10202.8436650228,28341.232402841,25174.5076849838,69929.188013844,1067.64916918087,10676.4916918087,988.208827115888,9882.08827115888
4,6.096,3000,914.4,0.447,0.8,819.250906322315,2275.69696200643,2021.42058765879,5615.05718794108,1889.82536758417,18898.2536758417,2199.39926843513,21993.9926843513
5,6.096,700,213.36,43.28,12.6,30961.020874159,86002.8357615527,76393.2569704547,212203.491584596,4079.15813178198,40791.5813178198,3792.39728958528,37923.9728958528
6,3.048,850,259.08,5.261,10.9,152.82889555316,424.52470986989,377.090185041275,1047.47273622576,438.293102294357,4382.93102294357,526.224864853418,5262.24864853418
7,7.62,300,91.44,4.03,3.8,4611.52729266771,12809.7980351881,11378.4875158642,31606.9097662895,4017.35664573306,40173.5664573306,4165.00259466352,41650.0259466352
8,4.572,480,146.304,14.096,3.7,21423.6132193679,59510.0367204664,52860.6468292774,146835.130081326,2375.16198986091,23751.6198986091,2200.54164679584,22005.4164679583
9,3.048,250,76.2,29.636,2.4,100031.908717838,277866.413105105,246818.841632735,685607.893424264,1478,14777.6238690972,1391.75031223849,13917.5031223849
10,7.62,350,106.68,0.676,2.1,424.870606494447,1180.19612915124,1048.32620193778,2912.01722760493,2212.27208063001,22122.7208063001,2912.57462685657,29125.7462685657
11,10.668,1150,350.52,18.27,1.9,743066.784269212,2064074.40074781,1833443.80108168,5092899.44744912,16981.7995549976,169817.995549976,15816.5004017761,158165.004017761
12,6.4008,600,182.88,1.806,5,377.446966765334,1048.46379657037,931.313061091243,2586.98072525345,1659.86578660023,16598.6578660023,2127.36365891989,21273.6365891989
13,3.048,140,42.672,0.123,6.5,0.234912094171833,0.652533594921759,0.579622359626861,1.61006211007461,112.687192386575,1126.87192386575,199.148184013588,1991.48184013588
14,3.048,360,109.728,12.84,6.5,2559.91297196747,7110.86936657629,6316.33208363396,17545.3668989832,834.380490213716,8343.80490213716,803.108688196938,8031.08688196938
