Field	Model
30	40.36543642
30	627.5931987
30	135.4889138
43	108.7066805
50	2298.967808
53	3099.26249
57	206.1819714
60	3965.611241
60	1326.584316
61	1444.464743
61	347.7926763
63	928.6310031
63	853.0683583
64	506.1507231
67	101.4328586
71	7783.307361
76	1045.905393
80	76409.29095
80	68955.21292
85	1220.699512
90	1500.709421
90	5283.321373
90	2826.508268
91	2800.479126
96	790.8605049
96	565.0717413
100	157005.2487
100	994.9002314
100	181.3155975
100	1576.111179
100	1326.584316
100	928.6310031
107	1122.264366
107	2086.802785
107	20.91960512
110	768.0739846
120	3815.873845
120	40.04933496
120	40.11260458
120	426.3151003
128	3200.10495
130	3979.600925
140	1569.984228
140	137.7647141
146	1794.638231
150	135838.7395
150	8825.529356
152	510.7359382
152	2669.629676
160	3249.865021
160	5722.176921
168	1491.74554
175	358.1640833
180	28.55279665
183	1290.822748
192	11029.04723
198	3595.009705
200	9185.916134
200	30.90189211
200	1443.961884
207	5344.139526
213	4715.914931
219	3951.553178
229	1026.262023
229	10802.92769
244	32628.12268
250	14109.74505
250	636.1862573
259	512.6696075
274	3777.030719
300	14130.47239
300	66965.19162
300	16524.92574
300	11567.72184
300	8939.838584
300	37195.72446
300	95.20116089
300	22.98617495
300	22.98617495
300	62.18126446
325	6507.013205
325	5563.809658
351	10802.92769
366	6005.227868
396	520.6466687
400	95.20116089
400	59507.56717
420	23977.38643
420	18.13205672
450	474.9933487
450	53.2161698
450	1257.283243
450	810.2788186
450	860.1169418
457	253.8820832
500	6938.308104
503	588.2167428
540	248.7250578
549	7471.901588
580	73.75457805
600	62155.61279
600	89.54102082
600	29762.30739
600	5690.562793
750	1358.387395
853	13678.90152
900	20.24771848
914	607.2746058
914	5984.282506
